[2023-03-28 12:54:31,247] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-03-28 12:54:31,279] INFO [Controller id=0 epoch=6] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2023-03-28 12:54:31,282] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2023-03-28 12:54:31,352] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2023-03-28 12:54:31,400] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 6 as part of the become-leader transition for 51 partitions (state.change.logger)
[2023-03-28 12:54:31,483] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,525] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,563] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,604] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,642] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,682] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,720] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,761] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,801] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,842] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,882] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,923] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:31,964] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,004] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,046] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,085] INFO [Broker id=0] Leader MyFirstKafkaTopic-0 with topic id Some(9XwJrKePSVi6uPw8jfjLEA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,125] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,166] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
